country,winter,season,metric,value,anom,anom_dt,n_sites,group,oni_djf
DK,1955,NDJFM,ice_days,22.296,3.484,3.107,2,neutral,-0.500
DK,1955,NDJFM,precip,291.150,-29.130,3.243,2,neutral,-0.500
DK,1955,NDJFM,precip_days,51.500,-10.833,-3.014,2,neutral,-0.500
DK,1955,NDJFM,thaw_days,126.678,-5.196,-4.720,2,neutral,-0.500
DK,1955,NDJFM,tmax_mean,3.324,-1.596,-0.755,2,neutral,-0.500
DK,1955,NDJFM,tmean,1.016,,-0.756,2,neutral,-0.500
DK,1955,NDJFM,tmin_mean,-1.255,-2.268,-0.664,2,neutral,-0.500
DK,1956,DJF,frost_days,63.813,25.009,9.726,2,lanina,-1.170
DK,1956,DJF,ice_days,28.762,17.195,11.444,2,lanina,-1.170
DK,1956,DJF,precip,195.200,-20.753,24.887,2,lanina,-1.170
DK,1956,DJF,precip_days,40.500,2.700,7.011,2,lanina,-1.170
DK,1956,DJF,thaw_days,61.192,-16.962,-11.214,2,lanina,-1.170
DK,1956,DJF,tmax_mean,1.458,-2.640,-1.317,2,lanina,-1.170
DK,1956,DJF,tmean,-1.025,,-1.726,2,lanina,-1.170
DK,1956,DJF,tmin_mean,-3.792,-3.971,-2.127,2,lanina,-1.170
DK,1956,JFM,frost_days,70.199,31.126,12.930,2,lanina,-1.170
DK,1956,JFM,ice_days,24.966,14.555,8.927,2,lanina,-1.170
DK,1956,JFM,precip,111.250,-59.470,-30.415,2,lanina,-1.170
DK,1956,JFM,precip_days,28.000,-2.967,-0.394,2,lanina,-1.170
DK,1956,JFM,thaw_days,65.510,-13.393,-8.169,2,lanina,-1.170
DK,1956,JFM,tmax_mean,1.541,-2.817,-1.415,2,lanina,-1.170
DK,1956,JFM,tmean,-1.090,-3.217,-1.615,2,lanina,-1.170
DK,1956,JFM,tmin_mean,-4.021,-4.110,-2.135,2,lanina,-1.170
DK,1956,NDJFM,frost_days,93.257,38.844,16.754,2,lanina,-1.170
DK,1956,NDJFM,ice_days,29.885,17.053,10.850,2,lanina,-1.170
DK,1956,NDJFM,precip,251.450,-79.630,-36.729,2,lanina,-1.170
DK,1956,NDJFM,precip_days,53.500,-1.833,-1.052,2,lanina,-1.170
DK,1956,NDJFM,thaw_days,121.084,-16.765,-10.460,2,lanina,-1.170
DK,1956,NDJFM,tmax_mean,3.348,-1.759,-0.756,2,lanina,-1.170
DK,1956,NDJFM,tmean,0.814,,-0.984,2,lanina,-1.170
DK,1956,NDJFM,tmin_mean,-1.941,-2.953,-1.381,2,lanina,-1.170
DK,1957,DJF,frost_days,33.950,-4.854,-19.832,2,neutral,-0.270
DK,1957,DJF,ice_days,6.688,-4.518,-10.497,2,neutral,-0.270
DK,1957,DJF,precip,167.550,-20.253,-2.865,2,neutral,-0.270
DK,1957,DJF,precip_days,38.000,0.700,4.518,2,neutral,-0.270
DK,1957,DJF,thaw_days,83.311,4.785,10.780,2,neutral,-0.270
DK,1957,DJF,tmax_mean,4.697,0.770,1.893,2,neutral,-0.270
DK,1957,DJF,tmean,2.835,,2.103,2,neutral,-0.270
DK,1957,DJF,tmin_mean,0.930,0.750,2.558,2,neutral,-0.270
DK,1957,JFM,frost_days,39.828,0.754,-17.066,2,neutral,-0.270
DK,1957,JFM,ice_days,2.069,-7.160,-13.808,2,neutral,-0.270
DK,1957,JFM,precip,166.150,22.730,24.254,2,neutral,-0.270
DK,1957,JFM,precip_days,32.000,1.033,3.546,2,neutral,-0.270
DK,1957,JFM,thaw_days,87.931,7.322,14.093,2,neutral,-0.270
DK,1957,JFM,tmax_mean,5.218,0.752,2.224,2,neutral,-0.270
DK,1957,JFM,tmean,2.810,0.631,2.245,2,neutral,-0.270
DK,1957,JFM,tmin_mean,0.322,0.233,2.169,2,neutral,-0.270
DK,1957,NDJFM,frost_days,59.891,5.478,-16.160,2,neutral,-0.270
DK,1957,NDJFM,ice_days,6.656,-5.540,-12.226,2,neutral,-0.270
DK,1957,NDJFM,precip,269.300,-24.930,-19.151,2,neutral,-0.270
DK,1957,NDJFM,precip_days,56.500,-1.833,1.910,2,neutral,-0.270
DK,1957,NDJFM,thaw_days,144.344,5.855,12.652,2,neutral,-0.270
DK,1957,NDJFM,tmax_mean,5.282,0.359,1.155,2,neutral,-0.270
DK,1957,NDJFM,tmean,3.083,,1.259,2,neutral,-0.270
DK,1957,NDJFM,tmin_mean,0.829,-0.182,1.358,2,neutral,-0.270
DK,1958,DJF,frost_days,59.178,20.375,5.702,2,elnino,1.690
DK,1958,DJF,ice_days,16.217,4.792,-0.837,2,elnino,1.690
DK,1958,DJF,precip,251.100,44.347,80.584,2,elnino,1.690
DK,1958,DJF,precip_days,38.500,-2.300,5.024,2,elnino,1.690
DK,1958,DJF,thaw_days,73.783,-4.525,1.128,2,elnino,1.690
DK,1958,DJF,tmax_mean,2.716,-1.287,-0.118,2,elnino,1.690
DK,1958,DJF,tmin_mean,-2.148,-2.328,-0.555,2,elnino,1.690
DK,1958,JFM,frost_days,74.416,35.343,17.898,2,elnino,1.690
DK,1958,JFM,ice_days,18.314,7.515,2.599,2,elnino,1.690
DK,1958,JFM,precip,216.500,24.430,74.374,2,elnino,1.690
DK,1958,JFM,precip_days,34.000,-3.967,5.487,2,elnino,1.690
DK,1958,JFM,thaw_days,71.162,-8.400,-2.835,2,elnino,1.690
DK,1958,JFM,tmax_mean,1.755,-2.628,-1.277,2,elnino,1.690
DK,1958,JFM,tmean,-0.951,-3.050,-1.555,2,elnino,1.690
DK,1958,JFM,tmin_mean,-3.721,-3.811,-1.913,2,elnino,1.690
DK,1958,NDJFM,frost_days,93.563,39.150,17.966,2,elnino,1.690
DK,1958,NDJFM,ice_days,21.958,7.954,3.229,2,elnino,1.690
DK,1958,NDJFM,precip,312.300,-30.030,23.576,2,elnino,1.690
DK,1958,NDJFM,precip_days,51.500,-13.833,-3.127,2,elnino,1.690
DK,1958,NDJFM,thaw_days,128.525,-8.674,-3.314,2,elnino,1.690
DK,1958,NDJFM,tmax_mean,3.364,-1.706,-0.788,2,elnino,1.690
DK,1958,NDJFM,tmin_mean,-1.539,-2.552,-1.042,2,elnino,1.690
DK,1959,DJF,frost_days,50.362,11.559,-2.809,2,neutral,0.600
DK,1959,DJF,ice_days,17.473,6.443,0.553,2,neutral,0.600
DK,1959,DJF,precip,142.750,-36.253,-27.867,2,neutral,0.600
DK,1959,DJF,precip_days,31.000,-11.300,-2.468,2,neutral,0.600
DK,1959,DJF,thaw_days,72.527,-6.176,-0.253,2,neutral,0.600
DK,1959,DJF,tmax_mean,3.559,-0.611,0.696,2,neutral,0.600
DK,1959,DJF,tmean,1.389,,0.594,2,neutral,0.600
DK,1959,DJF,tmin_mean,-0.806,-0.986,0.750,2,neutral,0.600
DK,1959,JFM,frost_days,43.989,4.915,-12.155,2,neutral,0.600
DK,1959,JFM,ice_days,16.182,6.771,0.628,2,neutral,0.600
DK,1959,JFM,precip,103.300,-32.570,-39.058,2,neutral,0.600
DK,1959,JFM,precip_days,22.000,-9.967,-6.573,2,neutral,0.600
DK,1959,JFM,thaw_days,73.818,-6.609,-0.340,2,neutral,0.600
DK,1959,JFM,tmax_mean,4.595,0.006,1.524,2,neutral,0.600
DK,1959,JFM,tmean,2.106,-0.176,1.461,2,neutral,0.600
DK,1959,JFM,tmin_mean,-0.396,-0.485,1.373,2,neutral,0.600
DK,1959,NDJFM,frost_days,56.084,1.671,-19.061,2,neutral,0.600
DK,1959,NDJFM,ice_days,17.334,5.389,-1.241,2,neutral,0.600
DK,1959,NDJFM,precip,214.150,-71.830,-74.846,2,neutral,0.600
DK,1959,NDJFM,precip_days,42.000,-19.833,-12.665,2,neutral,0.600
DK,1959,NDJFM,thaw_days,133.666,-5.075,1.679,2,neutral,0.600
DK,1959,NDJFM,tmax_mean,5.292,0.075,1.115,2,neutral,0.600
DK,1959,NDJFM,tmean,3.003,,1.128,2,neutral,0.600
DK,1959,NDJFM,tmin_mean,0.688,-0.325,1.153,2,neutral,0.600
DK,1960,DJF,frost_days,55.552,16.749,2.686,2,neutral,0.020
DK,1960,DJF,ice_days,17.989,5.171,1.201,2,neutral,0.020
DK,1960,DJF,precip,212.450,27.647,41.730,2,neutral,0.020
DK,1960,DJF,precip_days,41.500,3.700,8.038,2,neutral,0.020
DK,1960,DJF,thaw_days,72.483,-4.962,-0.422,2,neutral,0.020
DK,1960,DJF,tmax_mean,2.670,-1.344,-0.221,2,neutral,0.020
DK,1960,DJF,tmin_mean,-1.454,-1.633,0.068,2,neutral,0.020
DK,1960,JFM,frost_days,59.621,20.547,3.852,2,neutral,0.020
DK,1960,JFM,ice_days,15.167,5.414,-0.225,2,neutral,0.020
DK,1960,JFM,precip,146.750,-22.470,4.162,2,neutral,0.020
DK,1960,JFM,precip_days,29.000,-7.967,0.368,2,neutral,0.020
DK,1960,JFM,thaw_days,75.310,-5.299,0.992,2,neutral,0.020
DK,1960,JFM,tmax_mean,3.299,-1.114,0.191,2,neutral,0.020
DK,1960,JFM,tmean,0.705,-1.645,0.020,2,neutral,0.020
DK,1960,JFM,tmin_mean,-1.970,-2.058,-0.239,2,neutral,0.020
DK,1960,NDJFM,frost_days,74.137,19.724,-0.555,2,neutral,0.020
DK,1960,NDJFM,ice_days,18.808,4.968,0.387,2,neutral,0.020
DK,1960,NDJFM,precip,285.600,-9.930,-3.667,2,neutral,0.020
DK,1960,NDJFM,precip_days,55.000,-4.833,0.298,2,neutral,0.020
DK,1960,NDJFM,thaw_days,132.671,-4.694,0.538,2,neutral,0.020
DK,1960,NDJFM,tmax_mean,4.362,-0.716,0.160,2,neutral,0.020
DK,1960,NDJFM,tmean,2.099,,0.200,2,neutral,0.020
DK,1960,NDJFM,tmin_mean,-0.225,-1.238,0.210,2,neutral,0.020
DK,1961,DJF,frost_days,31.358,-7.446,-21.203,2,neutral,0.000
DK,1961,DJF,ice_days,7.183,-1.532,-9.473,2,neutral,0.000
DK,1961,DJF,precip,185.750,-13.253,14.929,2,neutral,0.000
DK,1961,DJF,precip_days,35.500,-1.300,2.046,2,neutral,0.000
DK,1961,DJF,thaw_days,82.300,1.799,9.271,2,neutral,0.000
DK,1961,DJF,tmax_mean,4.180,-0.151,1.259,2,neutral,0.000
DK,1961,DJF,tmean,2.336,,1.478,2,neutral,0.000
DK,1961,DJF,tmin_mean,0.498,0.319,1.984,2,neutral,0.000
DK,1961,JFM,frost_days,25.431,-13.644,-29.964,2,neutral,0.000
DK,1961,JFM,ice_days,5.602,-2.070,-9.627,2,neutral,0.000
DK,1961,JFM,precip,121.400,-24.914,-5.748,3,neutral,0.000
DK,1961,JFM,precip_days,29.333,-0.278,2.207,3,neutral,0.000
DK,1961,JFM,thaw_days,84.398,2.232,9.920,2,neutral,0.000
DK,1961,JFM,tmax_mean,5.526,0.536,2.380,2,neutral,0.000
DK,1961,JFM,tmean,3.299,0.847,2.575,2,neutral,0.000
DK,1961,JFM,tmin_mean,1.052,0.962,2.742,2,neutral,0.000
DK,1961,NDJFM,frost_days,38.120,-16.294,-36.119,2,neutral,0.000
DK,1961,NDJFM,ice_days,7.204,-2.458,-11.064,2,neutral,0.000
DK,1961,NDJFM,precip,337.400,25.570,47.861,2,neutral,0.000
DK,1961,NDJFM,precip_days,63.000,0.167,8.260,2,neutral,0.000
DK,1961,NDJFM,thaw_days,143.279,2.773,10.997,2,neutral,0.000
DK,1961,NDJFM,tmax_mean,5.780,0.241,1.553,2,neutral,0.000
DK,1961,NDJFM,tmean,3.717,,1.792,2,neutral,0.000
DK,1961,NDJFM,tmin_mean,1.650,0.637,2.054,2,neutral,0.000
DK,1962,DJF,frost_days,41.938,3.134,-10.318,2,neutral,-0.160
DK,1962,DJF,ice_days,9.746,-4.681,-6.776,2,neutral,-0.160
DK,1962,DJF,precip,170.900,-5.000,18.272,3,neutral,-0.160
DK,1962,DJF,precip_days,34.333,-0.683,3.669,3,neutral,-0.160
DK,1962,DJF,thaw_days,79.737,4.948,6.583,2,neutral,-0.160
DK,1962,DJF,tmax_mean,3.711,-0.233,0.760,2,neutral,-0.160
DK,1962,DJF,tmean,1.539,,0.650,2,neutral,-0.160
DK,1962,DJF,tmin_mean,-0.677,-0.857,0.773,2,neutral,-0.160
DK,1962,JFM,frost_days,48.046,8.972,-6.973,2,neutral,-0.160
DK,1962,JFM,ice_days,7.614,-4.229,-7.454,2,neutral,-0.160
DK,1962,JFM,precip,144.900,-2.514,17.346,3,neutral,-0.160
DK,1962,JFM,precip_days,33.333,2.722,6.136,3,neutral,-0.160
DK,1962,JFM,thaw_days,81.875,4.391,7.238,2,neutral,-0.160
DK,1962,JFM,tmax_mean,3.799,-0.517,0.615,2,neutral,-0.160
DK,1962,JFM,tmean,1.470,-0.547,0.706,2,neutral,-0.160
DK,1962,JFM,tmin_mean,-0.883,-0.972,0.769,2,neutral,-0.160
DK,1962,NDJFM,frost_days,74.771,20.358,0.985,2,neutral,-0.160
