level,unit,season,metric,variant,g1,g2,n1,n2,diff,ci_lo,ci_hi,p_perm,p_welch,p_mwu,cohen_d
site,fmi_100971,DJF,tmean,anom_dt,lanina,neutral,25,29,0.3373,-0.9507,1.6050,0.6105,0.6127,0.5847,0.1390
site,fmi_100971,DJF,tmin_mean,value,super,elnino,3,20,1.6852,-0.0123,3.3828,0.4409,0.0515,0.6979,0.5018
site,fmi_100971,DJF,tmin_mean,value,super,neutral,3,29,2.3728,1.1816,3.5640,0.1778,0.0003,0.1444,0.8383
site,fmi_100971,DJF,tmin_mean,value,elnino,neutral,20,29,0.6875,-1.1673,2.5864,0.4615,0.4777,0.5350,0.2159
site,fmi_100971,DJF,tmin_mean,value,super,lanina,3,25,1.5172,0.2829,2.7515,0.3679,0.0180,0.4328,0.5607
site,fmi_100971,DJF,tmin_mean,value,lanina,neutral,25,29,0.8556,-0.6967,2.3765,0.2843,0.2794,0.2900,0.2975
site,fmi_100971,DJF,tmin_mean,anom,super,elnino,3,20,1.6851,-0.0125,3.3826,0.4257,0.0516,0.6979,0.5018
site,fmi_100971,DJF,tmin_mean,anom,super,neutral,3,29,2.3726,1.1815,3.5638,0.1824,0.0003,0.1444,0.8383
site,fmi_100971,DJF,tmin_mean,anom,elnino,neutral,20,29,0.6876,-1.1806,2.5227,0.4537,0.4777,0.5350,0.2159
site,fmi_100971,DJF,tmin_mean,anom,super,lanina,3,25,1.5171,0.2827,2.7514,0.3649,0.0180,0.4328,0.5607
site,fmi_100971,DJF,tmin_mean,anom,lanina,neutral,25,29,0.8556,-0.6329,2.3545,0.2681,0.2794,0.2900,0.2975
site,fmi_100971,DJF,tmin_mean,anom_dt,super,elnino,3,20,1.2574,-0.4226,2.9374,0.5411,0.1343,0.6979,0.3950
site,fmi_100971,DJF,tmin_mean,anom_dt,super,neutral,3,29,1.5971,0.3510,2.8432,0.3321,0.0148,0.3165,0.5991
site,fmi_100971,DJF,tmin_mean,anom_dt,elnino,neutral,20,29,0.3397,-1.3508,2.0170,0.6945,0.7099,0.6399,0.1130
site,fmi_100971,DJF,tmin_mean,anom_dt,super,lanina,3,25,1.1309,-0.1448,2.4065,0.4789,0.0790,0.4328,0.4459
site,fmi_100971,DJF,tmin_mean,anom_dt,lanina,neutral,25,29,0.4662,-1.0297,1.8923,0.5347,0.5285,0.4149,0.1726
site,fmi_100971,JFM,frost_days,value,super,elnino,3,20,-6.2333,-16.3319,3.8652,0.5305,0.2002,0.4372,-0.4096
site,fmi_100971,JFM,frost_days,value,super,neutral,3,29,-8.9540,-18.2118,0.3038,0.2300,0.0555,0.1205,-0.7602
site,fmi_100971,JFM,frost_days,value,elnino,neutral,20,29,-2.7207,-10.8122,5.2298,0.4973,0.5226,0.7524,-0.1974
site,fmi_100971,JFM,frost_days,value,super,lanina,3,25,-10.2933,-19.5808,-1.0059,0.1632,0.0350,0.0631,-0.8444
site,fmi_100971,JFM,frost_days,value,lanina,neutral,25,29,1.3393,-5.2982,7.8347,0.6971,0.6936,0.6268,0.1085
