level,unit,season,metric,variant,group,n,mean,median,sd,ci_lo,ci_hi
site,fmi_100971,JFM,precip_days,anom,neutral,29,-1.7951,-1.9330,5.7179,-3.7606,0.2049
site,fmi_100971,JFM,precip_days,anom,lanina,25,0.0270,0.0670,7.3171,-2.7730,2.7870
site,fmi_100971,JFM,precip_days,anom_dt,super,3,3.7153,4.7190,3.5505,-5.1047,12.5354
site,fmi_100971,JFM,precip_days,anom_dt,elnino,20,0.1459,0.2425,6.7093,-2.6874,2.9189
site,fmi_100971,JFM,precip_days,anom_dt,neutral,29,-1.0910,-1.1840,5.7475,-3.1369,0.9791
site,fmi_100971,JFM,precip_days,anom_dt,lanina,25,0.7030,0.7950,7.3136,-2.1532,3.5771
site,fmi_100971,JFM,rain_on_snow_days,value,super,3,12.0000,12.0000,1.0000,9.5159,14.4841
site,fmi_100971,JFM,rain_on_snow_days,value,elnino,20,5.5621,5.0000,4.3511,3.7500,7.5241
site,fmi_100971,JFM,rain_on_snow_days,value,neutral,29,6.1455,6.0000,3.2881,4.9752,7.3233
site,fmi_100971,JFM,rain_on_snow_days,value,lanina,25,6.2000,6.0000,3.5237,4.8800,7.5600
site,fmi_100971,JFM,rain_on_snow_days,anom,super,3,5.2180,5.2180,1.0000,2.7339,7.7021
site,fmi_100971,JFM,rain_on_snow_days,anom,elnino,20,-1.2200,-1.7820,4.3511,-3.0703,0.6921
site,fmi_100971,JFM,rain_on_snow_days,anom,neutral,29,-0.6365,-0.7820,3.2881,-1.8021,0.5656
site,fmi_100971,JFM,rain_on_snow_days,anom,lanina,25,-0.5820,-0.7820,3.5237,-1.9420,0.7780
site,fmi_100971,JFM,rain_on_snow_days,anom_dt,super,3,5.3277,5.3670,0.3526,4.4516,6.2037
site,fmi_100971,JFM,rain_on_snow_days,anom_dt,elnino,20,-0.7602,-1.4085,4.0434,-2.4232,0.9752
site,fmi_100971,JFM,rain_on_snow_days,anom_dt,neutral,29,0.1079,0.0580,3.4223,-1.1379,1.3368
site,fmi_100971,JFM,rain_on_snow_days,anom_dt,lanina,25,-0.1561,-1.0260,3.3920,-1.4501,1.1389
site,fmi_100971,JFM,snow_cover_days,value,super,3,75.3333,74.0000,7.0946,57.7094,92.9573
site,fmi_100971,JFM,snow_cover_days,value,elnino,20,72.5224,77.5000,22.2956,62.6211,81.0224
site,fmi_100971,JFM,snow_cover_days,value,neutral,29,77.6746,89.0000,19.2482,70.5699,83.9853
site,fmi_100971,JFM,snow_cover_days,value,lanina,25,79.6800,85.0000,15.1595,73.3200,84.8800
site,fmi_100971,JFM,snow_cover_days,anom,super,3,5.2663,3.9330,7.0946,-12.3576,22.8903
site,fmi_100971,JFM,snow_cover_days,anom,elnino,20,2.4554,7.4330,22.2956,-7.9235,10.9330
site,fmi_100971,JFM,snow_cover_days,anom,neutral,29,7.6076,18.9330,19.2482,0.4155,13.8640
site,fmi_100971,JFM,snow_cover_days,anom,lanina,25,9.6130,14.9330,15.1595,3.3720,14.8140
site,fmi_100971,JFM,snow_cover_days,anom_dt,super,3,2.2360,1.7740,7.1013,-15.4046,19.8766
site,fmi_100971,JFM,snow_cover_days,anom_dt,elnino,20,-3.6485,4.1245,20.2688,-12.9322,4.3893
site,fmi_100971,JFM,snow_cover_days,anom_dt,neutral,29,-0.9962,4.4330,16.5720,-7.0997,4.5655
site,fmi_100971,JFM,snow_cover_days,anom_dt,lanina,25,3.8061,4.9590,14.7622,-2.2735,9.0309
site,fmi_100971,JFM,snow_depth,value,super,3,8.5843,7.9670,1.7145,4.3253,12.8434
site,fmi_100971,JFM,snow_depth,value,elnino,20,22.0109,19.4525,17.1031,15.2490,29.5967
site,fmi_100971,JFM,snow_depth,value,neutral,29,24.4667,23.9000,15.6503,18.8558,30.5442
site,fmi_100971,JFM,snow_depth,value,lanina,25,22.1027,18.3440,14.1622,16.9515,27.8809
site,fmi_100971,JFM,snow_depth,anom,super,3,-7.5507,-8.1680,1.7145,-11.8097,-3.2916
